Comment,Designator,Footprint,LCSC Part #
100n,"C1,C9,C11,C12,C13,C14,C24,C25,C28",C0402,C1525
10u,"C2,C3,C4,C5,C15,C23,C26,C27",C0805,C15850
22u,"C6,C7,C8",C0805,C45783
1u,"C10,C16",C0402,C52923
2u2,"C17,C18,C19,C20",C0603,C23630
470n,"C21,C22",C0402,C471404
BAT54,D1,SOD-323,C86299
red,D2,LED0603,C2286
grn,D3,LED0603,C12624
600R,"FB1,FB2",L0603,C97000
USB-C-16P,J1,USB-C-16P,C319148
microSD,J2,microSD-DM3AT,C114218
TRS_3.5,J6,PJ-31060,C2939583
1u5,L1,MWSA0402S,C408334
ICS-43434,MK1,ICS-43434-6_3.5x2.65,C5656610
2N7002,"Q1,Q3",SOT-23,C8545
AO3401A,Q2,SOT-23,C15127
5k1,"R1,R2",R0402,C25905
1k2,R3,R0402,C25749
10k,"R4,R5,R9,R14,R15,R18,R27,R28,R29,R30",R0402,C25744
1k,"R6,R7",R0402,C11702
100k,"R8,R10,R12,R13,R16,R17,R23",R0402,C25741
560k,R11,R0402,C227139
100R,"R19,R20,R26",R0402,C25076
20k,"R21,R22",R0402,C25765
4k7,"R24,R25",R0402,C25900
ESP32-S3-WROOM-1,U1,ESP32-S3-WROOM-1,C2913202
PCM5102A,U2,TSSOP-20,C107671
PAM8302A,U3,MSOP-8,C113367
TP4056,U4,SOIC-8-EP,C382139
TPS63020,U5,VSON-14-DSJ,C15483
USBLC6-2SC6,U6,SOT-23-6,C7519
