Designator,Mid X,Mid Y,Layer,Rotation
C1,29.4933,-117.8484,Top,0
C2,37.7972,-116.6815,Top,0
C3,21.3063,-123.4289,Top,0
C4,37.3107,-113.1490,Top,0
C5,15.4274,-117.0426,Top,0
C6,12.0719,-110.6341,Top,0
C7,43.8810,-106.4234,Top,0
C8,42.6527,-112.7501,Top,0
C9,5.3632,-107.2577,Top,0
C10,22.4488,-110.7048,Top,0
C11,25.2801,-105.5691,Top,0
C12,29.5466,-103.2280,Top,0
C13,21.5374,-103.7570,Top,0
C14,33.6096,-103.0860,Top,0
C15,16.4906,-103.6422,Top,0
C16,26.0863,-117.5902,Top,0
C17,21.7988,-114.1663,Top,0
C18,23.8468,-145.5917,Top,0
C19,10.4000,-132.7000,Top,0
C20,5.9502,-130.7048,Top,0
C21,42.2000,-75.0000,Top,0
C22,33.2356,-117.3811,Top,0
C23,20.8577,-117.9101,Top,0
C24,20.1296,-107.8589,Top,0
C25,16.4406,-107.4600,Top,0
C26,38.7453,-104.7547,Top,0
C27,37.5559,-109.0470,Top,0
C28,18.5000,-110.7766,Top,0
D1,3.0000,-103.9992,Top,0
D2,39.8697,-138.6638,Top,0
D3,54.6947,-142.8958,Top,0
FB1,49.3468,-21.5917,Top,0
FB2,45.4532,-9.6083,Top,0
J1,45.4000,-147.2975,Top,0
J2,22.3250,-8.6500,Top,180
J6,10.4000,-144.4000,Top,180
L1,43.7780,-66.0069,Top,0
MK1,9.4000,-104.9270,Top,0
Q1,15.1862,-121.2864,Top,0
Q2,42.3420,-124.1438,Top,0
Q3,43.6738,-118.4332,Top,0
R1,19.6385,-126.0623,Top,0
R2,41.7978,-109.9627,Top,0
R3,47.0366,-114.0543,Top,0
R4,53.4824,-139.5059,Top,0
R5,28.1366,-133.8543,Top,0
R6,44.6153,-131.5518,Top,0
R7,52.5840,-136.6875,Top,0
R8,41.0160,-128.5125,Top,0
R9,46.9000,-49.6000,Top,0
R10,17.5107,-113.1490,Top,0
R11,44.3991,-61.9368,Top,0
R12,22.1265,-129.4121,Top,0
R13,41.8035,-54.8846,Top,0
R14,45.4979,-75.1761,Top,0
R15,43.3747,-51.5187,Top,0
R16,41.9345,-58.2216,Top,0
R17,10.6857,-115.9890,Top,0
R18,49.1222,-75.5707,Top,0
R19,19.9532,-133.6083,Top,0
R20,23.8468,-133.6083,Top,0
R21,49.7060,-64.3506,Top,0
R22,10.4934,-119.6352,Top,0
R23,29.1000,-139.6000,Top,0
R24,29.6036,-142.1030,Top,0
R25,16.3686,-125.2671,Top,0
R26,48.0322,-61.0047,Top,0
R27,50.2537,-69.3482,Top,0
R28,41.9345,-40.9784,Top,0
R29,16.3016,-128.4394,Top,0
R30,33.2000,-4.0000,Top,0
R31,32.6714,-7.3374,Top,0
R32,11.2726,-7.6155,Top,0
U1,15.4000,-45.9800,Top,0
U2,21.9000,-139.6000,Top,0
U3,8.0178,-124.4590,Top,0
U4,46.2840,-136.6875,Top,0
U5,6.2469,-114.8661,Top,0
U6,36.9554,-134.3523,Top,0
